++ FOR BOARD 1 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 2 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 2 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 2 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 2 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 2 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 2 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 3 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 3 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 3 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 3 and depth ply = 0HWL score: -10 for Move (1, 2) Result (10, (1, 2))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 1000 for Move (1, 3) Result (-1000, (2, 1))
++ FOR BOARD 4 and depth ply = 0HWL score: 100 for Move (1, 3) Result (-100, (2, 3))
++ FOR BOARD 4 and depth ply = 0HWL score: 100 for Move (1, 3) Result (-100, (2, 3))
++ FOR BOARD 4 and depth ply = 0HWL score: 100 for Move (1, 3) Result (-100, (2, 3))
++ FOR BOARD 4 and depth ply = 0HWL score: 100 for Move (1, 3) Result (-100, (2, 3))
++ FOR BOARD 4 and depth ply = 0HWL score: 100 for Move (1, 3) Result (-100, (2, 3))
++ FOR BOARD 4 and depth ply = 0HWL score: 100 for Move (1, 3) Result (-100, (2, 3))
++ FOR BOARD 4 and depth ply = 0HWL score: 10 for Move (1, 3) Result (-10, (3, 2))
++ FOR BOARD 4 and depth ply = 0HWL score: 10 for Move (1, 3) Result (-10, (3, 2))
++ FOR BOARD 4 and depth ply = 0HWL score: 10 for Move (1, 3) Result (-10, (3, 2))
++ FOR BOARD 4 and depth ply = 0HWL score: -10 for Move (1, 3) Result (10, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 5 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 1))
++ FOR BOARD 5 and depth ply = 0HWL score: -10 for Move (1, 2) Result (10, (1, 2))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (2, 3))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (3, 1))
++ FOR BOARD 6 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 6 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 6 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 6 and depth ply = 0HWL score: -10 for Move (1, 2) Result (10, (1, 2))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (2, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (3, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (3, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (3, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (3, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (3, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (3, 1))
++ FOR BOARD 7 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 7 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 7 and depth ply = 0HWL score: 10 for Move (1, 2) Result (-10, (3, 2))
++ FOR BOARD 7 and depth ply = 0HWL score: -10 for Move (1, 2) Result (10, (1, 2))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 8 and depth ply = 0HWL score: 1000 for Move (1, 2) Result (-1000, (1, 3))
++ FOR BOARD 9 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
++ FOR BOARD 9 and depth ply = 0HWL score: 100 for Move (1, 2) Result (-100, (1, 3))
